"SampleID","DATE","WEIR-REP","value_mgm2","value_rfu","weir","rep","surface_area","notes_fromRFU","notes_calculation","slp","int"
"CH210001",2021-04-12,"W1-T",0.0157646497934833,13.47,"W1","T",0.001078121,NA,NA,0.26,0
"CH210004",2021-04-12,"W2-T",0,4.6,"W2","T",0.001078121,NA,NA,0.26,0
"CH210007",2021-04-12,"W3-T",0.0389160400363225,19.87,"W3","T",0.001078121,NA,NA,0.26,0
"CH210010",2021-04-12,"W4-T",0.00842131820083274,11.44,"W4","T",0.001078121,NA,NA,0.26,0
"CH210013",2021-04-12,"W5-T",0,5.36,"W5","T",0.001078121,NA,NA,0.26,0
"CH210016",2021-04-12,"W6-T",0.0309215755930921,17.66,"W6","T",0.001078121,NA,NA,0.26,0
"CH210022",2021-04-19,"W1-T",0.091042842129965,34.28,"W1","T",0.001078121,NA,NA,0.26,0
"CH210025",2021-04-19,"W2-T",0,5.52,"W2","T",0.001078121,NA,NA,0.26,0
"CH210028",2021-04-19,"W3-T",0.133438825512164,46,"W3","T",0.001078121,NA,NA,0.26,0
"CH210031",2021-04-19,"W4-T",0.0949858132806985,35.37,"W4","T",0.001078121,NA,NA,0.26,0
"CH210034",2021-04-19,"W5-T",0.0844591655296576,32.46,"W5","T",0.001078121,NA,NA,0.26,0
"CH210037",2021-04-19,"W6-T",0.490259627629923,144.64,"W6","T",0.001078121,NA,NA,0.26,0
"CH210040",2021-04-19,"W9-T",0.131485426960425,45.46,"W9","T",0.001078121,NA,NA,0.26,0
"CH210043",2021-04-26,"W1-T",0.207740318572776,66.54,"W1","T",0.001078121,NA,NA,0.26,0
"CH210046",2021-04-26,"W2-T",0.0199608392749979,14.63,"W2","T",0.001078121,NA,NA,0.26,0
"CH210049",2021-04-26,"W3-T",0.179162821241772,58.64,"W3","T",0.001078121,NA,NA,0.26,0
"CH210052",2021-04-26,"W4-T",0.138901106647584,47.51,"W4","T",0.001078121,NA,NA,0.26,0
"CH210055",2021-04-26,"W5-T",0.170625746089725,56.28,"W5","T",0.001078121,NA,NA,0.26,0
"CH210058",2021-04-26,"W6-T",0.571253319432605,167.03,"W6","T",0.001078121,NA,NA,0.26,0
"CH210061",2021-04-26,"W9-T",0.569697835400665,166.6,"W9","T",0.001078121,NA,NA,0.26,0
"CH210002",2021-04-12,"W1-M",0.120175466614601,118.59,"W1","M",0.00355283996,NA,NA,0.26,0
"CH210005",2021-04-12,"W2-M",0.0118617176201935,19.26,"W2","M",0.003336548826,NA,NA,0.26,0
"CH210008",2021-04-12,"W3-M",0.0567708387795872,50.76,"W3","M",0.002861102698,NA,NA,0.26,0
"CH210011",2021-04-12,"W4-M",0.0608023115784514,62.97,"W4","M",0.003454575896,NA,NA,0.26,0
"CH210014",2021-04-12,"W5-M",0.136800798266251,128.09,"W5","M",0.003391896874,NA,NA,0.26,0
"CH210017",2021-04-12,"W6-M",0.165427620430596,134.14,"W6","M",0.00294756824,NA,NA,0.26,0
"CH210023",2021-04-19,"W1-M",0.287809735807534,258.57,"W1","M",0.00338031025,NA,NA,0.26,0
"CH210026",2021-04-19,"W2-M",0.0683486010867251,71.11,"W2","M",0.003537632024,NA,NA,0.26,0
"CH210029",2021-04-19,"W3-M",0.259045561499901,229.86,"W3","M",0.00332342,NA,NA,0.26,0
"CH210032",2021-04-19,"W4-M",0.181019018095616,154.45,"W4","M",0.003131263256,NA,NA,0.26,0
"CH210035",2021-04-19,"W5-M",0.188952528238839,180.09,"W5","M",0.003529003852,NA,NA,0.26,0
"CH210038",2021-04-19,"W6-M",0.464180296915554,364.58,"W6","M",0.002986609318,NA,NA,0.26,0
"CH210041",2021-04-19,"W9-M",0.326982713309304,310.8,"W9","M",0.003598303984,NA,NA,0.26,0
"CH210044",2021-04-26,"W1-M",0.0644789767533577,73.42,"W1","M",0.0038896585,NA,NA,0.26,0
"CH210047",2021-04-26,"W2-M",0.335249704698547,307.16,"W2","M",0.00346722811,NA,NA,0.26,0
"CH210050",2021-04-26,"W3-M",0.666242099715144,625.46,"W3","M",0.003607933514,NA,NA,0.26,0
