Sample ID,short_id,Flr_sample,,run,vol_Etoh,value_rfu
CH190001,1,SAMPLE-008,,run1,20,81.91
CH190002,2,SAMPLE-009,,run1,20,284.07
CH190003,3,SAMPLE-010,,run1,20,18.07
CH190004,4,AMPLE-011,,run1,20,88.47
CH190005,5,SAMPLE-012,,run1,20,105.27
CH190006,6,SAMPLE-013,,run1,20,279.11
CH190007,7,SAMPLE-014,,run1,20,112.91
CH190008,8,SAMPLE-015,,run1,20,587.57
CH190009,9,SAMPLE-016,,run1,20,40.11
CH190010,10,SAMPLE-017,,run1,20,286.54
CH190011,11,SAMPLE-018,,run1,20,213.86
CH190012,12,SAMPLE-019,,run1,20,114.86
CH190015,15,SAMPLE-020,,run1,20,81.05
CH190016,16,SAMPLE-021,,run1,20,245.43
CH190017,17,SAMPLE-022,,run1,20,1884.83
CH190018,18,SAMPLE-023,,run1,20,152.34
CH190019,19,SAMPLE-024,,run1,20,31.23
CH190020,20,SAMPLE-025,,run1,20,391.9
CH190021,21,SAMPLE-026,,run1,20,91.25
CH190022,22,SAMPLE-027,,run1,20,820.75
CH190023,23,SAMPLE-028,,run1,20,17.53
CH190024,24,SAMPLE-029,,run1,20,447.1
CH190025,25,SAMPLE-030,,run1,20,64.34
CH190026,26,AMPLE-031,,run1,20,305.76
CH190029,29,SAMPLE-032,,run1,20,142.29
CH190030,30,SAMPLE-033,,run1,20,737.74
CH190031,31,SAMPLE-034,,run1,20,37.94
CH190032,32,SAMPLE-035,,run1,20,219.26
CH190033,33,SAMPLE-036,,run1,20,13.7
CH190034,34,SAMPLE-037,,run1,20,460.78
CH190035,35,SAMPLE-038,,run1,20,178.35
CH190036,36,SAMPLE-039,,run1,20,1268.42
CH190037,37,SAMPLE-040,,run1,20,51.51
CH190038,38,SAMPLE-041,,run1,20,716.06
CH190039,39,SAMPLE-042,,run1,20,268.04
CH190040,40,SAMPLE-043,,run1,20,1080
CH190041,41,SAMPLE-044,,run1,20,82.5
CH190042,42,SAMPLE-045,,run1,20,463.03
CH190043,43,SAMPLE-046,,run1,20,96.92
CH190044,44,SAMPLE-047,,run1,20,823.67
CH190045,45,SAMPLE-048,,run1,20,157.43
CH190046,46,SAMPLE-049,,run1,20,208.74
CH190047,47,SAMPLE-050,,run1,20,26.66
CH190048,48,SAMPLE-051,,run1,20,2233.48
CH190049,49,SAMPLE-052,,run1,20,169.01
CH190050,50,SAMPLE-053,,run1,20,1163.86
CH190051,51,SAMPLE-054,,run1,20,55.43
CH190052,52,SAMPLE-055,,run1,20,915.13
