"","Flr_sample","value_rfu","short_id","SampleID","vol_Etoh","run","Notes","vol_tile","vol_scrub","DATE","WEIR-REP","notes","subs"
"1","SAMPLE-008",81.91,1,"CH190001",10,"run1",NA,10,20,2019-04-29,"W1-T",NA,"T"
"2","SAMPLE-009",284.07,2,"CH190002",20,"run1",NA,10,20,2019-04-29,"W1-M",NA,"M"
"3","SAMPLE-010",18.07,3,"CH190003",10,"run1",NA,10,20,2019-04-29,"W2-T",NA,"T"
"4","AMPLE-011",88.47,4,"CH190004",20,"run1",NA,10,20,2019-04-29,"W2-M",NA,"M"
"5","SAMPLE-012",105.27,5,"CH190005",10,"run1",NA,10,20,2019-04-29,"W3-T",NA,"T"
"6","SAMPLE-013",279.11,6,"CH190006",20,"run1",NA,10,20,2019-04-29,"W3-M",NA,"M"
"7","SAMPLE-014",112.91,7,"CH190007",10,"run1",NA,10,20,2019-04-29,"W4-T",NA,"T"
"8","SAMPLE-015",587.57,8,"CH190008",20,"run1",NA,10,20,2019-04-29,"W4-M",NA,"M"
"9","SAMPLE-016",40.11,9,"CH190009",10,"run1",NA,10,20,2019-04-29,"W5-T",NA,"T"
"10","SAMPLE-017",286.54,10,"CH190010",20,"run1",NA,10,20,2019-04-29,"W5-M",NA,"M"
"11","SAMPLE-018",213.86,11,"CH190011",10,"run1",NA,10,20,2019-04-29,"W6-T",NA,"T"
"12","SAMPLE-019",114.86,12,"CH190012",20,"run1",NA,10,20,2019-04-29,"W6-M",NA,"M"
"13","SAMPLE-020",81.05,15,"CH190015",10,"run1",NA,10,20,2019-05-06,"W1-T",NA,"T"
"14","SAMPLE-021",245.43,16,"CH190016",20,"run1",NA,10,20,2019-05-06,"W1-M",NA,"M"
"15","SAMPLE-022",1884.83,17,"CH190017",10,"run1",NA,10,20,2019-05-06,"W2-T",NA,"T"
"16","SAMPLE-023",152.34,18,"CH190018",20,"run1",NA,10,20,2019-05-06,"W2-M",NA,"M"
"17","SAMPLE-024",31.23,19,"CH190019",10,"run1",NA,10,20,2019-05-06,"W3-T",NA,"T"
"18","SAMPLE-025",391.9,20,"CH190020",20,"run1",NA,10,20,2019-05-06,"W3-M",NA,"M"
"19","SAMPLE-026",91.25,21,"CH190021",10,"run1",NA,10,20,2019-05-06,"W4-T",NA,"T"
"20","SAMPLE-027",820.75,22,"CH190022",20,"run1",NA,10,20,2019-05-06,"W4-M",NA,"M"
"21","SAMPLE-028",17.53,23,"CH190023",10,"run1",NA,10,20,2019-05-06,"W5-T",NA,"T"
"22","SAMPLE-029",447.1,24,"CH190024",20,"run1",NA,10,20,2019-05-06,"W5-M",NA,"M"
"23","SAMPLE-030",64.34,25,"CH190025",10,"run1",NA,10,20,2019-05-06,"W6-T",NA,"T"
"24","AMPLE-031",305.76,26,"CH190026",20,"run1",NA,10,20,2019-05-06,"W6-M",NA,"M"
"25","SAMPLE-032",142.29,29,"CH190029",10,"run1",NA,10,20,2019-05-13,"W1-T",NA,"T"
"26","SAMPLE-033",737.74,30,"CH190030",20,"run1",NA,10,20,2019-05-13,"W1-M",NA,"M"
"27","SAMPLE-034",37.94,31,"CH190031",10,"run1",NA,10,20,2019-05-13,"W2-T",NA,"T"
"28","SAMPLE-035",219.26,32,"CH190032",20,"run1",NA,10,20,2019-05-13,"W2-M",NA,"M"
"29","SAMPLE-036",13.7,33,"CH190033",10,"run1",NA,10,20,2019-05-13,"W3-T",NA,"T"
"30","SAMPLE-037",460.78,34,"CH190034",20,"run1",NA,10,20,2019-05-13,"W3-M",NA,"M"
"31","SAMPLE-038",178.35,35,"CH190035",10,"run1",NA,10,20,2019-05-13,"W4-T",NA,"T"
"32","SAMPLE-039",1268.42,36,"CH190036",20,"run1",NA,10,20,2019-05-13,"W4-M",NA,"M"
"33","SAMPLE-040",51.51,37,"CH190037",10,"run1",NA,10,20,2019-05-13,"W5-T",NA,"T"
"34","SAMPLE-041",716.06,38,"CH190038",20,"run1",NA,10,20,2019-05-13,"W5-M",NA,"M"
"35","SAMPLE-042",268.04,39,"CH190039",10,"run1",NA,10,20,2019-05-13,"W6-T",NA,"T"
"36","SAMPLE-043",1080,40,"CH190040",20,"run1",NA,10,20,2019-05-13,"W6-M",NA,"M"
"37","SAMPLE-044",82.5,41,"CH190041",10,"run1",NA,10,20,2019-05-13,"W9-T",NA,"T"
"38","SAMPLE-045",463.03,42,"CH190042",20,"run1",NA,10,20,2019-05-13,"W9-M",NA,"M"
"39","SAMPLE-046",96.92,43,"CH190043",10,"run1",NA,10,20,2019-05-21,"W1-T",NA,"T"
"40","SAMPLE-047",823.67,44,"CH190044",20,"run1",NA,10,20,2019-05-21,"W1-M",NA,"M"
"41","SAMPLE-048",157.43,45,"CH190045",10,"run1",NA,10,20,2019-05-21,"W2-T",NA,"T"
"42","SAMPLE-049",208.74,46,"CH190046",20,"run1",NA,10,20,2019-05-21,"W2-M",NA,"M"
"43","SAMPLE-050",26.66,47,"CH190047",10,"run1",NA,10,20,2019-05-21,"W3-T",NA,"T"
"44","SAMPLE-051",2233.48,48,"CH190048",20,"run1",NA,10,20,2019-05-21,"W3-M",NA,"M"
"45","SAMPLE-052",169.01,49,"CH190049",10,"run1",NA,10,20,2019-05-21,"W4-T",NA,"T"
"46","SAMPLE-053",1163.86,50,"CH190050",20,"run1",NA,10,20,2019-05-21,"W4-M",NA,"M"
"47","SAMPLE-054",55.43,51,"CH190051",10,"run1",NA,10,20,2019-05-21,"W5-T",NA,"T"
"48","SAMPLE-055",915.13,52,"CH190052",20,"run1",NA,10,20,2019-05-21,"W5-M",NA,"M"
"49","SAMPLE-056",235.16,53,"CH190053",10,"run1",NA,10,20,2019-05-21,"W6-T",NA,"T"
"50","SAMPLE-057",1440.14,54,"CH190054",20,"run1",NA,10,20,2019-05-21,"W6-M",NA,"M"
"51","SAMPLE-058",92.53,55,"CH190055",10,"run1",NA,10,20,2019-05-21,"W9-T",NA,"T"
"52","SAMPLE-059",700.3,56,"CH190056",20,"run1",NA,10,20,2019-05-21,"W9-M",NA,"M"
"53","SAMPLE-060",567.8,57,"CH190057",10,"run1",NA,10,20,2019-05-28,"W1-T",NA,"T"
"54","SAMPLE-061",2365.46,58,"CH190058",20,"run1",NA,10,20,2019-05-28,"W1-M",NA,"M"
"55","SAMPLE-062",140.77,59,"CH190059",10,"run1",NA,10,20,2019-05-28,"W2-T",NA,"T"
"56","SAMPLE-063",437.43,60,"CH190060",20,"run1",NA,10,20,2019-05-28,"W2-M",NA,"M"
"57","SAMPLE-064",312.3,61,"CH190061",10,"run1",NA,10,20,2019-05-28,"W3-T",NA,"T"
"58","SAMPLE-065",4126.33,62,"CH190062",20,"run1",NA,10,20,2019-05-28,"W3-M",NA,"M"
"59","SAMPLE-066",388.46,63,"CH190063",10,"run1",NA,10,20,2019-05-28,"W4-T",NA,"T"
"60","SAMPLE-067",1488.5,64,"CH190064",20,"run1",NA,10,20,2019-05-28,"W4-M",NA,"M"
"61","SAMPLE-068",68.53,65,"CH190065",10,"run1",NA,10,20,2019-05-28,"W5-T",NA,"T"
"62","SAMPLE-069",1458.24,66,"CH190066",20,"run1",NA,10,20,2019-05-28,"W5-M",NA,"M"
"63","SAMPLE-070",628.57,67,"CH190067",10,"run1",NA,10,20,2019-05-28,"W6-T",NA,"T"
"64","SAMPLE-071",2389.19,68,"CH190068",20,"run1",NA,10,20,2019-05-28,"W6-M",NA,"M"
"65","SAMPLE-072",469.57,69,"CH190069",10,"run1",NA,10,20,2019-05-28,"W9-T",NA,"T"
"66","SAMPLE-073",2364.69,70,"CH190070",20,"run1",NA,10,20,2019-05-28,"W9-M",NA,"M"
"67","SAMPLE-078",1169.57,71,"CH190071",10,"run2",NA,10,20,2019-06-02,"W1-T",NA,"T"
"68","SAMPLE-079",2732.37,72,"CH190072",20,"run2",NA,10,20,2019-06-02,"W1-M",NA,"M"
"69","SAMPLE-080",191.3,73,"CH190073",10,"run2",NA,10,20,2019-06-02,"W2-T",NA,"T"
"70","SAMPLE-081",955.19,74,"CH190074",20,"run2",NA,10,20,2019-06-02,"W2-M",NA,"M"
"71","SAMPLE-082",457.06,75,"CH190075",10,"run2",NA,10,20,2019-06-02,"W3-T",NA,"T"
"72","SAMPLE-083",4828.51,76,"CH190076",20,"run2",NA,10,20,2019-06-02,"W3-M",NA,"M"
"73","SAMPLE-084",303.84,77,"CH190077",10,"run2",NA,10,20,2019-06-02,"W4-T",NA,"T"
"74","SAMPLE-085",1550.27,78,"CH190078",20,"run2",NA,10,20,2019-06-02,"W4-M",NA,"M"
"75","SAMPLE-086",111.08,79,"CH190079",10,"run2",NA,10,20,2019-06-02,"W5-T",NA,"T"
"76","SAMPLE-087",2031.51,80,"CH190080",20,"run2",NA,10,20,2019-06-02,"W5-M",NA,"M"
"77","SAMPLE-088",405.56,81,"CH190081",10,"run2",NA,10,20,2019-06-02,"W6-T",NA,"T"
"78","SAMPLE-089",4372.68,82,"CH190082",20,"run2",NA,10,20,2019-06-02,"W6-M",NA,"M"
"79","SAMPLE-090",518.89,83,"CH190083",10,"run2",NA,10,20,2019-06-02,"W9-T",NA,"T"
